name,type,majax,minax,posang,surfbr,hubble,messier,common
NGC2074,Cl+N,4.00,3.40,50,,,,
NGC2075,Cl+N,2.20,1.80,30,,,,
NGC2076,G,2.52,1.50,44,24.63,S0-a,,
NGC2077,Neb,1.30,1.30,,,,,
NGC2078,EmN,1.20,1.10,0,,,,
NGC2079,HII,1.10,0.95,160,,,,
NGC2080,HII,1.70,1.50,130,,,,
NGC2081,Cl+N,8.50,6.00,70,,,,
NGC2082,G,2.06,1.86,50,22.97,SBb,,
NGC2083,Neb,2.00,1.80,70,,,,
NGC2084,Neb,1.70,1.20,40,,,,
NGC2085,Neb,0.95,0.95,,,,,
NGC2086,Neb,0.85,0.80,70,,,,
NGC2087,G,0.81,0.59,133,22.81,SBa,,
NGC2088,OCl,1.50,1.40,10,,,,
NGC2089,G,2.20,1.08,42,23.45,E-S0,,
NGC2090,G,4.47,1.67,17,22.69,Sc,,
NGC2091,OCl,1.30,1.20,80,,,,
NGC2092,OCl,1.00,0.90,90,,,,
NGC2093,*Ass,1.50,1.30,170,,,,
NGC2094,OCl,0.85,0.75,10,,,,
NGC2095,OCl,1.50,1.40,140,,,,
NGC2096,OCl,1.10,0.90,160,,,,
NGC2097,GCl,1.90,1.90,,,,,
NGC2098,OCl,2.20,2.00,140,,,,
NGC2099,OCl,11.40,,,,,037,
NGC2100,GCl,2.50,2.50,,,,,
NGC2101,G,1.24,0.65,94,22.48,IB,,
NGC2102,OCl,0.85,0.85,,,,,
NGC2103,HII,4.00,3.50,40,,,,
NGC2104,G,2.12,0.91,162,22.83,SBm,,
NGC2105,GCl,1.70,1.50,160,,,,
NGC2106,G,2.43,1.22,106,23.77,S0,,
NGC2107,OCl,1.70,1.70,,,,,
NGC2108,GCl,1.80,1.80,,,,,
NGC2109,OCl,1.60,1.60,,,,,
NGC2110,G,1.83,1.45,175,23.56,E-S0,,
NGC2111,OCl,1.50,1.40,60,,,,
NGC2112,OCl,21.00,,,,,,
NGC2113,Cl+N,1.10,1.10,,,,,
NGC2114,OCl,1.40,1.20,30,,,,
NGC2115,GPair,1.33,,,,,,
NGC2115,G,1.21,1.06,59,23.45,E,,
NGC2115,G,0.57,0.47,43,23.56,S0-a,,
NGC2116,OCl,1.20,1.10,160,,,,
NGC2117,OCl,2.00,1.80,90,,,,
NGC2118,OCl,1.60,1.60,,,,,
NGC2119,G,1.26,0.99,145,24.36,E,,
NGC2120,GCl,2.20,2.20,,,,,
NGC2121,GCl,2.70,2.20,30,,,,
NGC2122,Cl+N,6.00,5.00,50,,,,
NGC2123,GCl,1.50,1.50,,,,,
NGC2124,G,2.84,0.81,4,23.58,Sb,,
NGC2125,OCl,1.10,1.10,,,,,
NGC2126,OCl,5.40,,,,,,
NGC2127,OCl,1.50,1.50,,,,,
NGC2128,G,1.44,1.01,63,23.17,E-S0,,
NGC2129,OCl,3.90,,,,,,
NGC2130,GCl,1.40,1.30,160,,,,
NGC2131,G,1.16,0.49,119,22.89,IB,,
NGC2132,OCl,7.80,,,,,,
NGC2133,OCl,1.60,1.60,,,,,
NGC2134,GCl,2.80,2.80,,,,,
NGC2135,GCl,1.50,1.50,,,,,
NGC2136,GCl,2.80,2.50,140,,,,
NGC2137,OCl,1.10,1.00,30,,,,
NGC2138,GCl,1.20,1.20,,,,,
NGC2139,G,2.94,2.16,124,22.80,Sc,,
NGC2140,OCl,1.50,1.50,,,,,
NGC2141,OCl,5.40,,,,,,
NGC2143,OCl,6.90,,,,,,
NGC2144,G,1.46,1.15,86,23.32,Sa,,
NGC2145,OCl,1.50,1.50,,,,,
NGC2146,G,5.31,4.32,123,22.76,SBab,,
NGC2146,G,2.72,1.10,32,23.68,SABc,,
NGC2147,OCl,0.95,0.95,,,,,
NGC2148,G,1.17,0.82,157,23.35,Sb,,
NGC2149,RfN,3.00,2.00,,,,,
NGC2150,G,1.15,0.61,130,22.30,Sab,,
NGC2151,OCl,1.30,1.30,,,,,
NGC2152,G,1.12,0.77,71,23.48,SBa,,
NGC2153,GCl,1.50,1.50,,,,,
NGC2154,GCl,2.40,2.40,,,,,
NGC2155,GCl,2.40,2.40,,,,,
NGC2156,GCl,2.10,2.10,,,,,
NGC2157,GCl,2.80,2.80,,,,,
NGC2158,OCl,8.40,,,,,,
NGC2159,GCl,1.90,1.90,,,,,
NGC2160,OCl,1.40,1.40,,,,,
NGC2161,GCl,2.30,2.30,,,,,
NGC2162,GCl,3.00,3.00,,,,,
NGC2163,RfN,3.00,2.00,,,,,
NGC2164,GCl,2.80,2.80,,,,,
NGC2165,OCl,,,,,,,
NGC2166,OCl,1.40,1.40,,,,,
NGC2168,OCl,24.00,,,,,035,
NGC2169,OCl,7.20,,,,,,
NGC2170,RfN,2.00,2.00,,,,,
NGC2172,OCl,1.70,1.70,,,,,
NGC2173,GCl,2.60,2.60,,,,,
NGC2174,Neb,40.00,30.00,,,,,Monkey Head Nebula
NGC2175,Cl+N,5.40,,,,,,
